Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Registrovan,Godina,Brand_enc,Model_enc,Tip_enc,Gorivo_enc
22990.0,162141.0,1.6,88.0,0,2016.0,34,11,6,1
64900.0,150138.0,2.2,125.0,1,2017.0,30,311,12,1
29900.0,260000.0,1.4,81.0,1,2016.0,45,328,4,4
13100.0,250000.0,1.6,68.0,1,2014.0,6,166,4,1
7500.0,275000.0,4.7,164.0,0,1999.0,21,335,4,4
34990.0,261659.0,2.2,125.0,0,2016.0,30,148,4,1
31990.0,109553.0,2.7,92.0,0,2002.0,32,547,12,1
62000.0,165000.0,2.0,140.0,1,2018.0,1,460,10,1
54990.0,167746.0,2.0,110.0,0,2018.0,45,551,10,1
17900.0,320744.0,1.6,77.0,1,2015.0,45,441,2,1
8200.0,235000.0,1.8,118.0,1,2009.0,48,425,2,0
19900.0,225000.0,2.0,140.0,1,2010.0,2,63,2,1
13900.0,233757.0,1.6,66.0,1,2013.0,48,285,2,1
9950.0,220000.0,0.9,48.0,0,2013.0,13,438,4,0
15500.0,275000.0,1.6,77.0,1,2012.0,45,441,2,1
21900.0,192940.0,1.6,81.0,1,2015.0,45,328,2,1
27000.0,236500.0,2.0,103.0,1,2012.0,45,515,6,1
29500.0,4100.0,1.2,60.0,0,2019.0,40,292,4,2
12000.0,330000.0,2.0,103.0,1,2005.0,1,101,4,1
45800.0,200000.0,2.0,140.0,1,2017.0,1,100,4,1
15999.0,219000.0,1.6,85.0,0,2012.0,29,54,4,1
33999.0,134000.0,1.6,118.0,1,2016.0,36,542,4,1
78900.0,176456.0,2.0,150.0,0,2015.0,45,539,6,1
9000.0,244870.0,1.6,80.0,1,2008.0,14,291,2,1
22900.0,134727.0,1.2,81.0,0,2018.0,34,32,4,0
17900.0,154231.0,1.5,75.0,1,2019.0,6,161,4,1
12200.0,185000.0,1.6,81.0,1,2011.0,36,510,4,1
25900.0,205114.0,2.0,110.0,0,2016.0,14,413,4,1
30000.0,325000.0,2.2,85.0,1,2010.0,30,521,4,1
24000.0,235000.0,3.2,173.0,1,2008.0,30,488,4,1
10900.0,64095.0,1.6,85.0,0,2009.0,33,124,4,0
3990.0,256172.0,1.9,88.0,0,2005.0,36,338,6,1
35000.0,205000.0,3.0,157.0,0,2011.0,30,303,10,1
17800.0,166231.0,1.6,88.0,1,2016.0,34,32,4,1
54990.0,84221.0,2.0,110.0,0,2018.0,30,147,4,1
15000.0,280000.0,1.6,66.0,1,2011.0,1,97,2,1
30500.0,237000.0,3.0,176.0,1,2011.0,1,460,10,1
34990.0,147915.0,1.6,88.0,0,2019.0,45,441,4,1
67990.0,133699.0,3.0,160.0,0,2017.0,1,462,10,1
40990.0,151267.0,2.2,130.0,0,2017.0,30,181,11,1
24100.0,196123.0,3.0,202.0,1,2010.0,20,606,4,1
40990.0,120495.0,2.0,110.0,0,2017.0,45,515,6,1
59990.0,92253.0,2.0,143.0,0,2019.0,30,148,4,1
64990.0,177790.0,2.0,143.0,0,2019.0,30,261,4,1
13200.0,238822.0,1.6,82.0,0,2013.0,34,32,2,1
9200.0,250000.0,1.5,81.0,1,2011.0,36,403,2,1
37990.0,144030.0,1.6,88.0,0,2020.0,45,441,2,1
14900.0,191674.0,1.2,55.0,1,2014.0,45,450,4,1
8200.0,260000.0,1.9,77.0,1,2007.0,39,115,4,1
3199.0,150000.0,1.5,55.0,1,1993.0,16,215,4,0
13400.0,240000.0,1.6,77.0,0,2010.0,45,328,4,1
38300.0,186000.0,2.0,140.0,1,2016.0,2,36,4,1
43299.0,215000.0,2.0,140.0,1,2015.0,2,593,12,1
20000.0,256000.0,1.6,77.0,1,2013.0,45,328,4,1
13000.0,250000.0,1.6,77.0,1,2011.0,45,328,4,1
9900.0,295000.0,2.0,110.0,1,2008.0,45,441,2,1
3800.0,303000.0,3.0,130.0,1,2005.0,33,577,4,1
11300.0,204000.0,1.6,88.0,0,2009.0,24,251,4,1
23900.0,200914.0,1.5,80.0,1,2013.0,30,130,4,1
8950.0,132000.0,1.4,70.0,1,2011.0,6,161,4,0
23900.0,300000.0,2.2,100.0,1,2011.0,30,260,4,1
