Brand,Model,Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Tip,Registrovan,Godina,Gorivo
Renault,Twingo,3300.0,170000.0,1.2,55.0,Malo auto,true,2004.0,Benzin
Volkswagen,Golf,1050.0,500000.0,1.8,66.0,Limuzina,true,1994.0,Plin
Mercedes-Benz,B 180,8950.0,300000.0,2.0,80.0,,true,2006.0,Dizel
BMW,320,30000.0,229000.0,2.0,135.0,Limuzina,true,2014.0,Dizel
Mercedes-Benz,C 220,18990.0,300000.0,2.2,88.0,,false,2011.0,Dizel
Opel,Meriva,11500.0,290000.0,2.2,74.0,Karavan,true,2009.0,Dizel
Audi,A4,10000.0,251000.0,2.0,103.0,Karavan,true,2006.0,Dizel
Mercedes-Benz,240,3000.0,300000.0,2.4,2400.0,Limuzina,false,1984.0,Dizel
BMW,X5,61000.0,230000.0,3.0,190.0,Terenac,true,2014.0,Dizel
Mercedes-Benz,B 180,21600.0,305000.0,1.8,80.0,Limuzina,true,2015.0,Dizel
BMW,320,33500.0,170000.0,2.0,135.0,Limuzina,true,2013.0,Dizel
Volkswagen,Passat,19200.0,244000.0,1.6,77.0,Limuzina,true,2013.0,Dizel
Audi,A5,22500.0,280000.0,2.0,105.0,Sportski/kupe,true,2011.0,Dizel
Mercedes-Benz,ML 500,25000.0,317000.0,5.0,225.0,,true,2006.0,Plin
Audi,A6,50900.0,193000.0,3.0,200.0,Limuzina,false,2015.0,Dizel
Audi,A8,51990.0,201000.0,3.0,179.0,Limuzina,true,2014.0,Dizel
Citroen,C4 Cactus,19000.0,270000.0,1.6,80.0,Malo auto,true,2016.0,Dizel
Mercedes-Benz,E 220,64000.0,120000.0,2.0,143.0,Limuzina,true,2017.0,Dizel
Volkswagen,Passat,6800.0,300000.0,2.0,103.0,Karavan,true,2006.0,Dizel
Audi,A6,22800.0,205150.0,3.0,176.0,Limuzina,0,2010.0,Dizel
Volkswagen,Golf,5300.0,248000.0,1.9,66.0,Malo auto,true,2005.0,Dizel
Land Rover,Range Rover Evoque,30999.0,210000.0,2.0,110.0,Terenac,true,2014.0,Dizel
Audi,A4,14990.0,259000.0,2.0,100.0,Limuzina,true,2008.0,Dizel
Audi,80,11900.0,85000.0,1.6,55.0,,0,1974.0,Benzin
Porsche,Panamera,68000.0,195000.0,3.6,220.0,Sportski/kupe,true,2011.0,Benzin
Opel,Astra,20900.0,177400.0,1.6,81.0,Karavan,false,2018.0,Dizel
Volkswagen,Passat,1950.0,123456.0,1.9,50.0,,true,1992.0,Dizel
Volkswagen,Tiguan,30900.0,233103.0,2.0,103.0,SUV,true,2013.0,Dizel
Renault,Kadjar,36990.0,160000.0,1.6,90.0,SUV,true,2016.0,Dizel
Audi,Q7,26000.0,376000.0,3.0,170.0,SUV,true,2008.0,Dizel
Škoda,Octavia,11000.0,300425.0,1.9,77.0,Karavan,true,2009.0,Dizel
Peugeot,308,9500.0,222058.0,1.6,82.0,Karavan,false,2010.0,Dizel
Mercedes-Benz,C 180,32200.0,269000.0,1.6,85.0,Limuzina,false,2015.0,Dizel
Mercedes-Benz,B 200,35600.0,148213.0,2.0,100.0,,0,2018.0,Dizel
Renault,Megane,25850.0,110024.0,1.5,85.0,Karavan,false,2019.0,Dizel
Citroen,C3,10950.0,175662.0,1.6,55.0,Malo auto,false,2015.0,Dizel
Škoda,Fabia,9499.0,190000.0,1.2,55.0,Limuzina,0,2010.0,Dizel
Škoda,Octavia,10500.0,300000.0,1.8,118.0,Karavan,true,2011.0,Benzin
Unimog,Unknown,6000.0,,,,,0,,
Peugeot,2008,22990.0,162141.0,1.6,88.0,Monovolumen,false,2016.0,Dizel
Mercedes-Benz,GLC 220,64900.0,150138.0,2.2,125.0,Terenac,true,2017.0,Dizel
